sales_id,date,quantity_p1,quantity_p2,quantity_p3,quantity_p4,revenue_p1,revenue_p2,revenue_p3,revenue_p4
1053,"2013-05-06 00:00:00",5753,341,4345,904,18237.010,2161.940,23549.900,6445.520
1054,"2013-05-07 00:00:00",7274,1656,4003,706,23058.580,10499.040,21696.260,5033.780
1055,"2013-05-08 00:00:00",832,1163,4870,1455,2637.440,7373.420,26395.400,10374.150
1056,"2013-05-09 00:00:00",2773,922,2808,1344,8790.410,5845.480,15219.360,9582.720
1057,"2013-05-10 00:00:00",6101,2559,4903,822,19340.170,16224.060,26574.260,5860.860
1058,"2013-05-11 00:00:00",1057,2681,3825,1837,3350.690,16997.540,20731.500,13097.810
1059,"2013-05-12 00:00:00",4502,3946,267,431,14271.340,25017.640,1447.140,3073.030
106,"2010-09-28 00:00:00",1068,2055,715,1087,3385.560,13028.700,3875.300,7750.310
1060,"2013-05-13 00:00:00",481,3715,1102,1696,1524.770,23553.100,5972.840,12092.480
1061,"2013-05-14 00:00:00",319,2352,1147,1993,1011.230,14911.680,6216.740,14210.090
1062,"2013-05-15 00:00:00",6541,907,3143,1921,20734.970,5750.380,17035.060,13696.730
1063,"2013-05-16 00:00:00",6082,2802,4913,702,19279.940,17764.680,26628.460,5005.260
1064,"2013-05-17 00:00:00",2964,2835,4022,1175,9395.880,17973.900,21799.240,8377.750
1065,"2013-05-18 00:00:00",4901,1745,502,1784,15536.170,11063.300,2720.840,12719.920
1066,"2013-05-19 00:00:00",2622,2997,2385,752,8311.740,19000.980,12926.700,5361.760
1067,"2013-05-20 00:00:00",3409,2334,728,1636,10806.530,14797.560,3945.760,11664.680
1068,"2013-05-21 00:00:00",4986,2345,5485,298,15805.620,14867.300,29728.700,2124.740
1069,"2013-05-22 00:00:00",7017,3970,4691,1844,22243.890,25169.800,25425.220,13147.720
107,"2010-09-29 00:00:00",5110,3370,1228,1871,16198.700,21365.800,6655.760,13340.230
1070,"2013-05-23 00:00:00",4541,753,1876,1593,14394.970,4774.020,10167.920,11358.090
1071,"2013-05-24 00:00:00",2834,2022,1181,1744,8983.780,12819.480,6401.020,12434.720
1072,"2013-05-25 00:00:00",5885,3060,4387,1430,18655.450,19400.400,23777.540,10195.900
1073,"2013-05-26 00:00:00",7769,3640,4168,344,24627.730,23077.600,22590.560,2452.720
1074,"2013-05-27 00:00:00",1058,3199,477,1210,3353.860,20281.660,2585.340,8627.300
1075,"2013-05-28 00:00:00",3669,817,5313,1285,11630.730,5179.780,28796.460,9162.050
1076,"2013-05-29 00:00:00",3342,2810,1083,1370,10594.140,17815.400,5869.860,9768.100
1077,"2013-05-30 00:00:00",7732,3239,5503,1164,24510.440,20535.260,29826.260,8299.320
1078,"2013-05-31 00:00:00",7547,2538,3873,410,23923.990,16090.920,20991.660,2923.300
1079,"2013-06-01 00:00:00",289,2737,744,601,916.130,17352.580,4032.480,4285.130
108,"2010-09-30 00:00:00",7642,3158,414,656,24225.140,20021.720,2243.880,4677.280
1080,"2013-06-02 00:00:00",311,1508,5924,250,985.870,9560.720,32108.080,1782.500
1081,"2013-06-03 00:00:00",3323,2041,919,930,10533.910,12939.940,4980.980,6630.900
1082,"2013-06-04 00:00:00",2431,2073,2537,1790,7706.270,13142.820,13750.540,12762.700
1083,"2013-06-05 00:00:00",2625,972,2960,1104,8321.250,6162.480,16043.200,7871.520
1084,"2013-06-06 00:00:00",6356,2813,1534,1361,20148.520,17834.420,8314.280,9703.930
1085,"2013-06-07 00:00:00",1506,1907,328,281,4774.020,12090.380,1777.760,2003.530
1086,"2013-06-08 00:00:00",4444,2552,1581,451,14087.480,16179.680,8569.020,3215.630
1087,"2013-06-09 00:00:00",7325,1560,2257,1892,23220.250,9890.400,12232.940,13489.960
1089,"2013-06-11 00:00:00",2446,1578,2155,879,7753.820,10004.520,11680.100,6267.270
1090,"2013-06-12 00:00:00",5766,253,1657,1236,18278.220,1604.020,8980.940,8812.680
1091,"2013-06-13 00:00:00",5148,3147,3294,715,16319.160,19951.980,17853.480,5097.950
1092,"2013-06-14 00:00:00",6740,3944,375,1418,21365.800,25004.960,2032.500,10110.340
1094,"2013-06-16 00:00:00",2265,2662,1892,545,7180.050,16877.080,10254.640,3885.850
1095,"2013-06-17 00:00:00",3033,2724,1199,1135,9614.610,17270.160,6498.580,8092.550
1096,"2013-06-18 00:00:00",7329,2317,1713,1335,23232.930,14689.780,9284.460,9518.550
1097,"2013-06-19 00:00:00",6179,1087,741,1043,19587.430,6891.580,4016.220,7436.590
1098,"2013-06-20 00:00:00",4211,1416,4024,1481,13348.870,8977.440,21810.080,10559.530
1099,"2013-06-21 00:00:00",4217,2336,1851,427,13367.890,14810.240,10032.420,3044.510
11,"2010-06-24 00:00:00",2197,1429,2754,1299,6964.490,9059.860,14926.680,9261.870
110,"2010-10-01 00:00:00",4430,1942,3211,1751,14043.100,12312.280,17403.620,12484.630
1100,"2013-06-22 00:00:00",6594,1005,4914,892,20902.980,6371.700,26633.880,6359.960
1102,"2013-06-24 00:00:00",1119,3139,4522,886,3547.230,19901.260,24509.240,6317.180
1103,"2013-06-25 00:00:00",3168,2088,1253,517,10042.560,13237.920,6791.260,3686.210
1104,"2013-06-26 00:00:00",6654,867,4037,264,21093.180,5496.780,21880.540,1882.320
1105,"2013-06-27 00:00:00",3420,1854,4001,588,10841.400,11754.360,21685.420,4192.440
1106,"2013-06-28 00:00:00",7387,3837,2351,1802,23416.790,24326.580,12742.420,12848.260
1107,"2013-06-29 00:00:00",1006,1993,3990,1812,3189.020,12635.620,21625.800,12919.560
1108,"2013-06-30 00:00:00",7042,1629,1885,1165,22323.140,10327.860,10216.700,8306.450
1109,"2013-07-01 00:00:00",672,1168,5444,750,2130.240,7405.120,29506.480,5347.500
111,"2010-10-02 00:00:00",758,1656,2788,1632,2402.860,10499.040,15110.960,11636.160
1110,"2013-07-02 00:00:00",487,1459,856,1899,1543.790,9250.060,4639.520,13539.870
1111,"2013-07-03 00:00:00",4811,1546,5763,530,15250.870,9801.640,31235.460,3778.900
1112,"2013-07-04 00:00:00",3927,3235,3583,446,12448.590,20509.900,19419.860,3179.980
1113,"2013-07-05 00:00:00",536,3938,3539,1645,1699.120,24966.920,19181.380,11728.850
1114,"2013-07-06 00:00:00",3096,459,4135,1011,9814.320,2910.060,22411.700,7208.430
1115,"2013-07-07 00:00:00",2001,3830,4526,1873,6343.170,24282.200,24530.920,13354.490
1116,"2013-07-08 00:00:00",7910,386,720,1117,25074.700,2447.240,3902.400,7964.210
1117,"2013-07-09 00:00:00",3587,929,987,1813,11370.790,5889.860,5349.540,12926.690
1118,"2013-07-10 00:00:00",7457,966,5432,1658,23638.690,6124.440,29441.440,11821.540
1119,"2013-07-11 00:00:00",1664,1281,3457,554,5274.880,8121.540,18736.940,3950.020
112,"2010-10-03 00:00:00",7257,3804,2304,1282,23004.690,24117.360,12487.680,9140.660
1120,"2013-07-12 00:00:00",5897,706,3549,1676,18693.490,4476.040,19235.580,11949.880
1121,"2013-07-13 00:00:00",1913,1275,1551,1338,6064.210,8083.500,8406.420,9539.940
1122,"2013-07-14 00:00:00",5097,3146,5853,324,16157.490,19945.640,31723.260,2310.120
1123,"2013-07-15 00:00:00",560,3378,2410,1851,1775.200,21416.520,13062.200,13197.630
1124,"2013-07-16 00:00:00",4798,1021,4117,1926,15209.660,6473.140,22314.140,13732.380
1125,"2013-07-17 00:00:00",5683,2562,739,484,18015.110,16243.080,4005.380,3450.920
1126,"2013-07-18 00:00:00",5849,1010,1059,1308,18541.330,6403.400,5739.780,9326.040
1127,"2013-07-19 00:00:00",3410,2935,2770,1232,10809.700,18607.900,15013.400,8784.160
1128,"2013-07-20 00:00:00",3254,2349,1996,1866,10315.180,14892.660,10818.320,13304.580
1129,"2013-07-21 00:00:00",7909,336,2886,751,25071.530,2130.240,15642.120,5354.630
113,"2010-10-04 00:00:00",4152,2432,3931,542,13161.840,15418.880,21306.020,3864.460
1130,"2013-07-22 00:00:00",3622,3507,503,265,11481.740,22234.380,2726.260,1889.450
1131,"2013-07-23 00:00:00",3437,2762,5110,1612,10895.290,17511.080,27696.200,11493.560
1132,"2013-07-24 00:00:00",7511,377,435,961,23809.870,2390.180,2357.700,6851.930
1133,"2013-07-25 00:00:00",5523,668,5159,1034,17507.910,4235.120,27961.780,7372.420
1134,"2013-07-26 00:00:00",5438,1845,5093,1329,17238.460,11697.300,27604.060,9475.770
1135,"2013-07-27 00:00:00",2880,1894,5611,1116,9129.600,12007.960,30411.620,7957.080
1136,"2013-07-28 00:00:00",4383,679,3011,902,13894.110,4304.860,16319.620,6431.260
1137,"2013-07-29 00:00:00",1118,3721,5708,1894,3544.060,23591.140,30937.360,13504.220
1138,"2013-07-30 00:00:00",6711,1209,1640,1487,21273.870,7665.060,8888.800,10602.310
1139,"2013-07-31 00:00:00",4905,1457,4470,369,15548.850,9237.380,24227.400,2630.970
114,"2010-10-05 00:00:00",2994,910,283,1897,9490.980,5769.400,1533.860,13525.610
1140,"2013-08-01 00:00:00",282,1466,1178,762,893.940,9294.440,6384.760,5433.060
1141,"2013-08-02 00:00:00",7616,3945,3929,1593,24142.720,25011.300,21295.180,11358.090
1142,"2013-08-03 00:00:00",3888,2121,893,443,12324.960,13447.140,4840.060,3158.590
1144,"2013-08-05 00:00:00",6436,1394,5953,536,20402.120,8837.960,32265.260,3821.680
1145,"2013-08-06 00:00:00",7826,1610,546,1949,24808.420,10207.400,2959.320,13896.370
1146,"2013-08-07 00:00:00",7039,1670,5188,502,22313.630,10587.800,28118.960,3579.260
1147,"2013-08-08 00:00:00",6689,2699,5079,1730,21204.130,17111.660,27528.180,12334.900
1148,"2013-08-09 00:00:00",1605,3691,4701,564,5087.850,23400.940,25479.420,4021.320
1149,"2013-08-10 00:00:00",499,1181,4741,838,1581.830,7487.540,25696.220,5974.940
115,"2010-10-06 00:00:00",3527,2557,3183,441,11180.590,16211.380,17251.860,3144.330
1150,"2013-08-11 00:00:00",2028,828,914,1108,6428.760,5249.520,4953.880,7900.040
1151,"2013-08-12 00:00:00",1058,3119,4621,1498,3353.860,19774.460,25045.820,10680.740
1152,"2013-08-13 00:00:00",4768,2508,2630,1564,15114.560,15900.720,14254.600,11151.320
1153,"2013-08-14 00:00:00",5841,3098,867,452,18515.970,19641.320,4699.140,3222.760
1154,"2013-08-15 00:00:00",3358,3388,3890,1640,10644.860,21479.920,21083.800,11693.200
1155,"2013-08-16 00:00:00",6789,1038,1515,570,21521.130,6580.920,8211.300,4064.100
1156,"2013-08-17 00:00:00",5012,1955,5664,1047,15888.040,12394.700,30698.880,7465.110
1157,"2013-08-18 00:00:00",6254,767,1213,406,19825.180,4862.780,6574.460,2894.780
1158,"2013-08-19 00:00:00",1707,277,497,740,5411.190,1756.180,2693.740,5276.200
1159,"2013-08-20 00:00:00",3874,2022,3578,1248,12280.580,12819.480,19392.760,8898.240
116,"2010-10-07 00:00:00",387,3515,3485,545,1226.790,22285.100,18888.700,3885.850
1160,"2013-08-21 00:00:00",4323,2593,1663,717,13703.910,16439.620,9013.460,5112.210
1161,"2013-08-22 00:00:00",4849,3573,2835,1438,15371.330,22652.820,15365.700,10252.940
1162,"2013-08-23 00:00:00",5292,258,2553,1291,16775.640,1635.720,13837.260,9204.830
1163,"2013-08-24 00:00:00",6037,1969,5945,1831,19137.290,12483.460,32221.900,13055.030
1166,"2013-08-27 00:00:00",5045,277,3289,1658,15992.650,1756.180,17826.380,11821.540
1167,"2013-08-28 00:00:00",6601,994,5760,1319,20925.170,6301.960,31219.200,9404.470
1168,"2013-08-29 00:00:00",807,334,1387,709,2558.190,2117.560,7517.540,5055.170
1169,"2013-08-31 00:00:00",5650,2776,2516,1685,17910.500,17599.840,13636.720,12014.050
117,"2010-10-08 00:00:00",5205,3146,2376,1708,16499.850,19945.640,12877.920,12178.040
1170,"2013-09-01 00:00:00",4004,569,4713,553,12692.680,3607.460,25544.460,3942.890
1172,"2013-09-03 00:00:00",7251,1721,4925,1152,22985.670,10911.140,26693.500,8213.760
1173,"2013-09-04 00:00:00",3834,2076,4230,1819,12153.780,13161.840,22926.600,12969.470
1174,"2013-09-05 00:00:00",7530,1391,3940,489,23870.100,8818.940,21354.800,3486.570
1175,"2013-09-06 00:00:00",1308,3935,1776,1445,4146.360,24947.900,9625.920,10302.850
1176,"2013-09-07 00:00:00",7642,3382,2602,1919,24225.140,21441.880,14102.840,13682.470
1177,"2013-09-08 00:00:00",1754,3651,1169,1959,5560.180,23147.340,6335.980,13967.670
1178,"2013-09-09 00:00:00",1268,2410,1361,1162,4019.560,15279.400,7376.620,8285.060
1179,"2013-09-10 00:00:00",7864,920,1253,274,24928.880,5832.800,6791.260,1953.620
118,"2010-10-09 00:00:00",854,1533,3331,1363,2707.180,9719.220,18054.020,9718.190
1180,"2013-09-11 00:00:00",1989,3455,2429,1601,6305.130,21904.700,13165.180,11415.130
1181,"2013-09-12 00:00:00",7251,3412,2289,397,22985.670,21632.080,12406.380,2830.610
1182,"2013-09-13 00:00:00",4208,1898,3963,1502,13339.360,12033.320,21479.460,10709.260
1183,"2013-09-14 00:00:00",2755,3567,1805,1582,8733.350,22614.780,9783.100,11279.660
1184,"2013-09-15 00:00:00",1767,637,1426,1623,5601.390,4038.580,7728.920,11571.990
1185,"2013-09-16 00:00:00",4208,1221,1267,1170,13339.360,7741.140,6867.140,8342.100
1186,"2013-09-17 00:00:00",3735,899,4901,1302,11839.950,5699.660,26563.420,9283.260
1187,"2013-09-18 00:00:00",1805,1258,4111,1065,5721.850,7975.720,22281.620,7593.450
1188,"2013-09-19 00:00:00",4476,1010,2363,427,14188.920,6403.400,12807.460,3044.510
1189,"2013-09-20 00:00:00",4981,1326,2374,921,15789.770,8406.840,12867.080,6566.730
119,"2010-10-10 00:00:00",7329,406,257,1314,23232.930,2574.040,1392.940,9368.820
1190,"2013-09-21 00:00:00",1048,703,5470,569,3322.160,4457.020,29647.400,4056.970
1191,"2013-09-22 00:00:00",7386,1248,1760,954,23413.620,7912.320,9539.200,6802.020
1192,"2013-09-23 00:00:00",4234,1759,4480,946,13421.780,11152.060,24281.600,6744.980
1193,"2013-09-24 00:00:00",4725,1484,1205,542,14978.250,9408.560,6531.100,3864.460
1194,"2013-09-25 00:00:00",3364,264,1772,1430,10663.880,1673.760,9604.240,10195.900
1195,"2013-09-26 00:00:00",5763,2223,5861,1797,18268.710,14093.820,31766.620,12812.610
1196,"2013-09-27 00:00:00",2782,2593,2911,855,8818.940,16439.620,15777.620,6096.150
1197,"2013-09-28 00:00:00",4178,3561,791,1344,13244.260,22576.740,4287.220,9582.720
1198,"2013-09-29 00:00:00",1102,891,5186,1460,3493.340,5648.940,28108.120,10409.800
1199,"2013-09-30 00:00:00",2181,1874,1328,1810,6913.770,11881.160,7197.760,12905.300
12,"2010-06-25 00:00:00",7910,1622,5574,306,25074.700,10283.480,30211.080,2181.780
120,"2010-10-11 00:00:00",6253,2602,3013,1255,19822.010,16496.680,16330.460,8948.150
1201,"2013-10-01 00:00:00",2728,1642,482,1101,8647.760,10410.280,2612.440,7850.130
1202,"2013-10-02 00:00:00",2408,1517,3656,640,7633.360,9617.780,19815.520,4563.200
1203,"2013-10-03 00:00:00",1973,1686,1444,874,6254.410,10689.240,7826.480,6231.620
1204,"2013-10-04 00:00:00",2993,2788,5440,422,9487.810,17675.920,29484.800,3008.860
1205,"2013-10-05 00:00:00",886,526,5571,1928,2808.620,3334.840,30194.820,13746.640
1206,"2013-10-06 00:00:00",407,707,5890,474,1290.190,4482.380,31923.800,3379.620
1207,"2013-10-07 00:00:00",7127,1517,2024,1659,22592.590,9617.780,10970.080,11828.670
1208,"2013-10-08 00:00:00",6939,1840,4384,585,21996.630,11665.600,23761.280,4171.050
1209,"2013-10-09 00:00:00",4165,821,1165,701,13203.050,5205.140,6314.300,4998.130
121,"2010-10-12 00:00:00",5431,1654,764,1048,17216.270,10486.360,4140.880,7472.240
1210,"2013-10-10 00:00:00",6935,3743,1611,1875,21983.950,23730.620,8731.620,13368.750
1211,"2013-10-11 00:00:00",3625,3235,1140,1730,11491.250,20509.900,6178.800,12334.900
1212,"2013-10-12 00:00:00",4930,2041,5908,821,15628.100,12939.940,32021.360,5853.730
1213,"2013-10-13 00:00:00",791,3858,422,1406,2507.470,24459.720,2287.240,10024.780
1214,"2013-10-14 00:00:00",4825,3039,1691,557,15295.250,19267.260,9165.220,3971.410
1215,"2013-10-15 00:00:00",6150,3561,286,1445,19495.500,22576.740,1550.120,10302.850
1216,"2013-10-16 00:00:00",613,3797,4241,1022,1943.210,24072.980,22986.220,7286.860
1219,"2013-10-19 00:00:00",7503,1936,2741,1605,23784.510,12274.240,14856.220,11443.650
122,"2010-10-13 00:00:00",5041,2762,3532,438,15979.970,17511.080,19143.440,3122.940
1220,"2013-10-20 00:00:00",7840,1186,5608,1464,24852.800,7519.240,30395.360,10438.320
1221,"2013-10-21 00:00:00",7170,3208,3470,1554,22728.900,20338.720,18807.400,11080.020
1222,"2013-10-22 00:00:00",1899,3707,3171,970,6019.830,23502.380,17186.820,6916.100
1224,"2013-10-24 00:00:00",3421,2440,3349,1422,10844.570,15469.600,18151.580,10138.860
1225,"2013-10-25 00:00:00",6539,1590,5998,461,20728.630,10080.600,32509.160,3286.930
1226,"2013-10-26 00:00:00",4361,3139,4695,842,13824.370,19901.260,25446.900,6003.460
1227,"2013-10-27 00:00:00",4827,639,4376,916,15301.590,4051.260,23717.920,6531.080
1228,"2013-10-28 00:00:00",7295,3964,5536,1013,23125.150,25131.760,30005.120,7222.690
1229,"2013-10-29 00:00:00",3236,1037,4276,1035,10258.120,6574.580,23175.920,7379.550
123,"2010-10-14 00:00:00",7259,2642,3644,1464,23011.030,16750.280,19750.480,10438.320
1230,"2013-10-30 00:00:00",2326,1687,5379,1664,7373.420,10695.580,29154.180,11864.320
1231,"2013-11-01 00:00:00",4371,3252,1177,1763,13856.070,20617.680,6379.340,12570.190
1232,"2013-11-02 00:00:00",3869,3224,3419,261,12264.730,20440.160,18530.980,1860.930
1233,"2013-11-03 00:00:00",3090,3656,385,698,9795.300,23179.040,2086.700,4976.740
1234,"2013-11-04 00:00:00",4205,1237,1171,512,13329.850,7842.580,6346.820,3650.560
1235,"2013-11-05 00:00:00",4419,1768,2023,287,14008.230,11209.120,10964.660,2046.310
1236,"2013-11-06 00:00:00",7358,948,3103,746,23324.860,6010.320,16818.260,5318.980
1237,"2013-11-07 00:00:00",7924,3175,5816,1354,25119.080,20129.500,31522.720,9654.020
1238,"2013-11-08 00:00:00",292,2502,3792,932,925.640,15862.680,20552.640,6645.160
1239,"2013-11-09 00:00:00",5458,1852,871,362,17301.860,11741.680,4720.820,2581.060
124,"2010-10-15 00:00:00",3736,3621,5216,724,11843.120,22957.140,28270.720,5162.120
1240,"2013-11-10 00:00:00",7654,1773,2877,780,24263.180,11240.820,15593.340,5561.400
1242,"2013-11-12 00:00:00",7356,2890,848,1628,23318.520,18322.600,4596.160,11607.640
1243,"2013-11-13 00:00:00",1764,2690,4404,642,5591.880,17054.600,23869.680,4577.460
1244,"2013-11-14 00:00:00",6843,495,2038,1512,21692.310,3138.300,11045.960,10780.560
1245,"2013-11-15 00:00:00",5660,3113,891,683,17942.200,19736.420,4829.220,4869.790
1246,"2013-11-16 00:00:00",5984,830,4810,1786,18969.280,5262.200,26070.200,12734.180
1247,"2013-11-17 00:00:00",7324,1890,4894,1631,23217.080,11982.600,26525.480,11629.030
1248,"2013-11-18 00:00:00",7372,1235,533,261,23369.240,7829.900,2888.860,1860.930
1249,"2013-11-19 00:00:00",3670,3640,1958,1011,11633.900,23077.600,10612.360,7208.430
125,"2010-10-16 00:00:00",6013,1389,4931,365,19061.210,8806.260,26726.020,2602.450
1250,"2013-11-20 00:00:00",5453,3284,4166,1391,17286.010,20820.560,22579.720,9917.830
1251,"2013-11-21 00:00:00",337,513,1657,1498,1068.290,3252.420,8980.940,10680.740
1252,"2013-11-22 00:00:00",7521,674,3960,401,23841.570,4273.160,21463.200,2859.130
1253,"2013-11-23 00:00:00",5975,1897,3916,253,18940.750,12026.980,21224.720,1803.890
1254,"2013-11-24 00:00:00",2081,741,3824,493,6596.770,4697.940,20726.080,3515.090
1255,"2013-11-25 00:00:00",354,657,3477,462,1122.180,4165.380,18845.340,3294.060
1256,"2013-11-26 00:00:00",1942,609,2878,1149,6156.140,3861.060,15598.760,8192.370
1257,"2013-11-27 00:00:00",6661,1995,560,1776,21115.370,12648.300,3035.200,12662.880
1258,"2013-11-28 00:00:00",7305,2399,629,1322,23156.850,15209.660,3409.180,9425.860
1259,"2013-11-29 00:00:00",7567,2395,3337,1063,23987.390,15184.300,18086.540,7579.190
126,"2010-10-17 00:00:00",2772,1663,475,1941,8787.240,10543.420,2574.500,13839.330
1260,"2013-11-30 00:00:00",5239,3184,3652,1799,16607.630,20186.560,19793.840,12826.870
1262,"2013-12-01 00:00:00",2677,1376,2608,1531,8486.090,8723.840,14135.360,10916.030
1263,"2013-12-02 00:00:00",7205,378,824,1067,22839.850,2396.520,4466.080,7607.710
1264,"2013-12-03 00:00:00",6192,2292,5208,1376,19628.640,14531.280,28227.360,9810.880
1265,"2013-12-04 00:00:00",6586,2262,5119,1383,20877.620,14341.080,27744.980,9860.790
1267,"2013-12-06 00:00:00",4297,3406,4753,1219,13621.490,21594.040,25761.260,8691.470
1268,"2013-12-07 00:00:00",3250,1022,648,456,10302.500,6479.480,3512.160,3251.280
1269,"2013-12-08 00:00:00",5390,3702,4055,489,17086.300,23470.680,21978.100,3486.570
127,"2010-10-18 00:00:00",1723,2129,2859,1682,5461.910,13497.860,15495.780,11992.660
1270,"2013-12-09 00:00:00",1084,1530,3054,1760,3436.280,9700.200,16552.680,12548.800
1271,"2013-12-10 00:00:00",292,2148,2037,1973,925.640,13618.320,11040.540,14067.490
1272,"2013-12-11 00:00:00",861,2356,1131,1404,2729.370,14937.040,6130.020,10010.520
1273,"2013-12-12 00:00:00",5712,1563,3032,980,18107.040,9909.420,16433.440,6987.400
1274,"2013-12-13 00:00:00",3298,2340,1423,495,10454.660,14835.600,7712.660,3529.350
1275,"2013-12-14 00:00:00",5546,2980,4035,889,17580.820,18893.200,21869.700,6338.570
